web_scraper_order,name_0,Character_Nickname_0,Game_Appeared_In_0,Position_0,Element_0,Kick_Lv50_0,Control_Lv50_0,Intelligence_Lv50_0,Technique_Lv50_0,Pressure_Lv50_0,Physical_Lv50_0,Agility_Lv50_0,Gender_0,Character_Role_0,image_0
"1770566955-1","eshin","eshin","Inazuma Eleven: Victory Road","FW","Mountain","113","111","99","100","90","87","83","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/_/j/_jjnn8tctrs.png"
"1770566957-2","KOTA","KOTA","Inazuma Eleven: Victory Road","GK","Wind","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/g/egkbfeec1p8.png"
"1770566960-3","Ah Dackchin","Ah Dackchin","Inazuma Eleven: Victory Road","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/1/i/1ivgoh44yau.png"
"1770566964-4","Magda Dornel","Magda","Inazuma Eleven: Victory Road","FW","Fire","118","112","89","102","83","81","81","Female","Coordinator","https://dxi4wb638ujep.cloudfront.net/1/k/s/0/s09dxdrkyss.png"
"1770566967-5","Cressida Octavia","Cressida","Inazuma Eleven: Victory Road","FW","Mountain","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/c/d/cdjfsiazjs0.png"
"1770566969-6","Keira Donnell","Keira","Inazuma Eleven: Victory Road","DF","Forest","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/8/s/8sawbvvr8me.png"
"1770566971-7","Amara Myles","Amara","Inazuma Eleven: Victory Road","GK","Wind","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/n/e/nexrsqjrr_s.png"
"1770566973-8","Cecily Noire","Cecily","Inazuma Eleven: Victory Road","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/p/l/pl2nczbhu5s.png"
"1770566976-9","Ivy Celeste","Ivy","Inazuma Eleven: Victory Road","DF","Fire","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/-/n/-nhsvm995ke.png"
"1770566978-10","Catalina Riven","Catalina","Inazuma Eleven: Victory Road","GK","Mountain","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/i/eikz8ri1mq0.png"
"1770566980-11","Vivian Calder","Viv","Inazuma Eleven: Victory Road","DF","Fire","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/k/vkv4ruuphzc.png"
"1770566982-12","Zora Selwick","Zora","Inazuma Eleven: Victory Road","DF","Wind","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/i/bio1lvnga18.png"
"1770566985-13","Kendra Pierce","Kendra","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/k/wk_umqb8tgu.png"
"1770566987-14","Julietta Belamy","Julietta","Inazuma Eleven: Victory Road","DF","Wind","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/g/egamxdcek58.png"
"1770566989-15","Norah Queensby","Norah","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/1/i/1ixt6ikknku.png"
"1770566992-16","Mira Lysander","Mira","Inazuma Eleven: Victory Road","FW","Wind","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/n/vnsyp_rssqk.png"
"1770566994-17","Trixie Bren","Trixie","Inazuma Eleven: Victory Road","MF","Mountain","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/p/kpj5ea3w_zm.png"
"1770566996-18","Jackie Mulligan","Jackie","Inazuma Eleven: Victory Road","MF","Fire","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/m/u/muklqzl66fm.png"
"1770566998-19","Arwena Lark","Arwena","Inazuma Eleven: Victory Road","FW","Fire","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/x/g/xgvehmdaxsk.png"
"1770567001-20","Lindalyn Berny","Lindalyn","Inazuma Eleven: Victory Road","FW","Wind","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/3/p/3p2xu72iimu.png"
"1770567005-21","Zanark Avalonic","Zanark","Inazuma Eleven: Victory Road","FW","Mountain","121","115","93","105","88","85","85","Male","Manager","https://dxi4wb638ujep.cloudfront.net/1/k/5/i/5i3xpn80tnm.png"
"1770567007-22","Venom Braggard","Braggard","Inazuma Eleven: Victory Road","DF","Forest","84","87","119","85","104","107","89","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/d/6/d6llhjnznmm.png"
"1770567010-23","Baron Oxford","Oxford","Inazuma Eleven: Victory Road","DF","Mountain","84","87","119","85","104","107","89","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/v/jvg-yus74s8.png"
"1770567012-24","Lars Luceafăr","Luceafăr","Inazuma Eleven: Victory Road","GK","Mountain","90","97","97","91","98","105","111","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/9/s93ffr0bvfu.png"
"1770567014-25","Arachne","Arachne","Inazuma Eleven: Victory Road","MF","Fire","99","114","103","114","85","84","84","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/c/qcwdxymtqzu.png"
"1770567017-26","Gele","Gele","Inazuma Eleven: Victory Road","DF","Wind","84","87","119","85","104","107","89","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/0/h0bicnax9q8.png"
"1770567019-27","Cao Cao","Cao Cao","Inazuma Eleven: Victory Road","DF","Mountain","86","90","121","88","105","109","91","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/b/bbixpq1fikm.png"
"1770567021-28","Panca","Panca","Inazuma Eleven: Victory Road","MF","Wind","99","114","103","114","85","84","84","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/z/wzt2ivtll5k.png"
"1770567023-29","Sapta","Sapta","Inazuma Eleven: Victory Road","MF","Fire","99","114","103","114","85","84","84","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/b/ebi74uaseve.png"
"1770567026-30","Grisley Bear","Grizzly","Inazuma Eleven: Victory Road","FW","Fire","119","114","92","104","85","84","84","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/z/vz5avr8wpms.png"
"1770567028-31","Ryoma Nishiki","Roma","Inazuma Eleven: Victory Road","MF","Mountain","100","115","104","116","88","85","85","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/z/bzgckc_0oze.png"
"1770567030-32","Bash Lancer","Lancer","Inazuma Eleven: Victory Road","FW","Forest","121","115","93","105","88","85","85","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/x/qx3jjjzojqs.png"
"1770567032-33","Destra","Destra","Inazuma Eleven: Victory Road","FW","Mountain","121","115","93","105","88","85","85","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/e/keuwa-sgwkc.png"
"1770567035-34","Caleb Stonewall","Stonewall","Inazuma Eleven: Victory Road","MF","Fire","104","112","100","109","91","92","85","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/7/2/72l33bk8750.png"
"1770567037-35","Dvalin","Dvalin","Inazuma Eleven: Victory Road","GK","Fire","90","97","97","91","98","105","111","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/5/x/5xirzyyq-_0.png"
"1770567039-36","Hurricane Zeta","Zeta","Inazuma Eleven: Victory Road","FW","Wind","119","114","92","104","85","84","84","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/i/_/i_tk0n-qtmc.png"
"1770567042-37","Zanark Avalonic","Zanark","Inazuma Eleven: Victory Road","FW","Mountain","121","115","93","105","88","85","85","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/o/q/oqw_n6limss.png"
"1770567044-38","Nadia Watershed","Nadia","Inazuma Eleven: Victory Road","MF","Wind","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/l/ulga-lwegbm.png"
"1770567046-39","Juniper Cushionne","Cushionne","Inazuma Eleven: Victory Road","MF","Wind","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/j/fj3ht0w-nok.png"
"1770567048-40","Vane Nishmont","Nishmont","Inazuma Eleven: Victory Road","DF","Wind","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/r/j/rji5i5zcqxm.png"
"1770567051-41","Emery Hillmere","Hillmere","Inazuma Eleven: Victory Road","MF","Fire","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/a/h/ah5ypgvmhkk.png"
"1770567053-42","Colleen Evenholm","Colleen","Inazuma Eleven: Victory Road","MF","Wind","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/6/o/6oatcbguyeu.png"
"1770567055-43","Emi Blanchett","Emi","Inazuma Eleven: Victory Road","FW","Forest","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/m/lmrmxkguf38.png"
"1770567058-44","Aila Pavey","Pavey","Inazuma Eleven: Victory Road","FW","Wind","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/h/jhsqf9u4ax8.png"
"1770567060-45","Amadeus Lyland","Lyland","Inazuma Eleven: Victory Road","FW","Wind","111","108","96","98","87","85","80","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/4/v/4vdxycyc3cu.png"
"1770567062-46","Rico Falsettis","Falsettis","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/a/ya-ehfhkcik.png"
"1770567064-47","Fitzbon Vivant","Vivant","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/p/o/poplmghwvrm.png"
"1770567067-48","Annie Glenvale","Annie","Inazuma Eleven: Victory Road","MF","Fire","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/w/vwz0vls6uc8.png"
"1770567069-49","Alphonse Wreckenbach","Alphonse","Inazuma Eleven: Victory Road","FW","Fire","111","108","96","98","87","85","80","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/-/k-ovca0adxu.png"
"1770567071-50","Sami Wampovich","Wampovich","Inazuma Eleven: Victory Road","GK","Mountain","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/u/quxnzx3iko8.png"
"1770567073-51","Adelaide Plainhart","Plainhart","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/8/h8mseoryj9u.png"
"1770567076-52","Colm Dawdlin","Colm","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/t/btfzn1kq8dk.png"
"1770567078-53","Capricia Saiz","Saiz","Inazuma Eleven: Victory Road","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/7/w704gkcqrum.png"
"1770567080-54","Jayden Durance","Durance","Inazuma Eleven: Victory Road","MF","Mountain","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/a/yazkotqguom.png"
"1770567083-55","Brannon Chalant","Chalant","Inazuma Eleven: Victory Road","DF","Wind","82","85","118","83","102","106","87","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/d/y/dycfjs285bk.png"
"1770567085-56","Heather Lovella","Lovella","Inazuma Eleven: Victory Road","FW","Fire","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/d/jdhwwxd0m7u.png"
"1770567087-57","Niro Vannaburg","Vannaburg","Inazuma Eleven: Victory Road","FW","Forest","111","108","96","98","87","85","80","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/1/s1qrdolohi8.png"
"1770567089-58","Matilde Pendlebury","Pendlebury","Inazuma Eleven: Victory Road","MF","Mountain","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/8/d/8dlchpshakc.png"
"1770567092-59","Blue Cleverley","Blue","Inazuma Eleven: Victory Road","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/n/1/n169qwk9tx0.png"
"1770567094-60","Colette Brushmont","Brushmont","Inazuma Eleven: Victory Road","DF","Fire","82","85","118","83","102","106","87","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/5/f/5fflb9jfkoc.png"
"1770567096-61","Margot Napier","Napier","Inazuma Eleven: Victory Road","MF","Mountain","97","112","100","113","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/-/u/-upkbkakcoe.png"
"1770567099-62","Bowie Buffoon","Buffoon","Inazuma Eleven: Victory Road","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/p/g/pg-f2b8wx9s.png"
"1770567101-63","Crag Bolderin","Bolderin","Inazuma Eleven: Victory Road","MF","Mountain","97","112","100","113","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/p/vpdwlgj4edc.png"
"1770567103-64","Rynor Rushenfort","Rushenfort","Inazuma Eleven: Victory Road","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/b/ebsri5vcpu0.png"
"1770567105-65","Ignacio Gerhardt","Gerhardt","Inazuma Eleven: Victory Road","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/b/bbg9_haxlx8.png"
"1770567110-66","Marcol Leapstone","Marcol","Inazuma Eleven: Victory Road","MF","Mountain","97","112","100","113","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/d/ediej1lpv98.png"
"1770567112-67","Lacie Pawford","Pawford","Inazuma Eleven: Victory Road","DF","Forest","82","85","118","83","102","106","87","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/e/veaqdx2b3uk.png"
"1770567114-68","Stran Linemont","Stran","Inazuma Eleven: Victory Road","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/m/n/mnstexcnfbm.png"
